comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
equal,1,1.6155980984398728e-5,0.125,0,1,21,21
equal,1,1.6155980984398728e-5,0.125,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.125,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.125,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.125,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.16666666666666666,0,1,24,24
equal,1,1.6155980984398728e-5,0.16666666666666666,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.16666666666666666,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.16666666666666666,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.16666666666666666,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.20833333333333331,0,1,25,25
equal,1,1.6155980984398728e-5,0.20833333333333331,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.20833333333333331,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.20833333333333331,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.20833333333333331,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.25,0,1.01,21,20.792079207920793
equal,1,1.6155980984398728e-5,0.25,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.25,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.25,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.25,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.29166666666666663,0,1.01,24,23.762376237623762
equal,1,1.6155980984398728e-5,0.29166666666666663,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.29166666666666663,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.29166666666666663,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.29166666666666663,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.3333333333333333,0,1,24,24
equal,1,1.6155980984398728e-5,0.3333333333333333,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.3333333333333333,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.3333333333333333,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.3333333333333333,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.375,0,1,23,23
equal,1,1.6155980984398728e-5,0.375,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.375,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.375,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.375,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.41666666666666663,0,1,24,24
equal,1,1.6155980984398728e-5,0.41666666666666663,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.41666666666666663,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.41666666666666663,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.41666666666666663,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.4583333333333333,0,1.01,24,23.762376237623762
equal,1,1.6155980984398728e-5,0.4583333333333333,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.4583333333333333,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.4583333333333333,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.4583333333333333,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.5,0,1.01,24,23.762376237623762
equal,1,1.6155980984398728e-5,0.5,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.5,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.5,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.5,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.5416666666666666,0,1,23,23
equal,1,1.6155980984398728e-5,0.5416666666666666,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.5416666666666666,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.5416666666666666,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.5416666666666666,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.5833333333333333,0,1,24,24
equal,1,1.6155980984398728e-5,0.5833333333333333,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.5833333333333333,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.5833333333333333,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.5833333333333333,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.625,0,1,23,23
equal,1,1.6155980984398728e-5,0.625,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.625,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.625,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.625,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.6666666666666666,0,1,23,23
equal,1,1.6155980984398728e-5,0.6666666666666666,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.6666666666666666,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.6666666666666666,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.6666666666666666,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.7083333333333333,0,1,25,25
equal,1,1.6155980984398728e-5,0.7083333333333333,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.7083333333333333,0.05,0,0,0
